node_id,longitude,latitude,node_index
366408398,106.7210453,10.8287007,438
366408561,106.5980404,10.8883054,439
366408598,106.6596675,10.8003602,440
366408615,106.7338252,10.8545357,441
366408650,106.7321395,10.8540124,442
366408755,106.766892,10.8374102,443
366408832,106.8072521,10.8722269,444
366408877,106.5897534,10.6958617,445
366408915,106.6788286,10.8213529,446
366408949,106.6772949,10.8766406,447
366409007,106.6471816,10.7796321,448
366409088,106.7816729,10.8542601,449
366409093,106.5987269,10.8675071,450
366409140,106.672625,10.7706203,451
366409274,106.6780702,10.8054656,452
366409374,106.6736261,10.80837,453
366409572,106.6527038,10.7609677,454
366409605,106.6568445,10.7821462,455
366409677,106.7441489,10.8408399,456
366409794,106.6531665,10.7516488,457
366409870,106.7166811,10.7295958,458
366409955,106.6451363,10.77964,459
366410061,106.7536678,10.8494184,460
366410064,106.6438018,10.7577151,461
366410090,106.7200632,10.8283566,462
366410141,106.6513624,10.7848857,463
366410160,106.7293575,10.8005193,464
366410278,106.7732711,10.8479386,465
366410640,106.8138507,10.880337,466
366410861,106.6621621,10.7988354,467
366411026,106.8131489,10.8793915,468
366411133,106.6252983,10.8161073,469
366411400,106.6563901,10.7764962,470
366411464,106.6692116,10.7503613,471
366411560,106.6978738,10.8052561,472
366411899,106.6609272,10.7493775,473
366412106,106.6715214,10.7677708,474
366412394,106.7542735,10.8761169,475
366412419,106.6573067,10.7542504,476
366412480,106.7209788,10.7335267,477
366412573,106.6943416,10.8199531,478
366412646,106.6603065,10.7504811,479
366412672,106.6174592,10.8608559,480
366412790,106.678852,10.8675837,481
366412903,106.6882631,10.742116,482
366412916,106.6566625,10.7853918,483
366412945,106.6947204,10.8604561,484
366413223,106.6419314,10.7989932,485
366413279,106.6869496,10.8038885,486
366413436,106.7185091,10.8279898,487
366413446,106.6677535,10.752555,488
366413450,106.6536879,10.7646854,489
366413515,106.6802894,10.8654252,490
366413598,106.6961219,10.7956893,491
366413603,106.6629014,10.8391029,492
366413742,106.6885276,10.8080673,493
366413824,106.7489356,10.8746114,494
366413945,106.6080531,10.7763082,495
366414017,106.6384203,10.7797501,496
366414108,106.8076326,10.8738915,497
366414118,106.7184953,10.8070705,498
366414360,106.7500313,10.7875285,499
366414465,106.6062342,10.8569165,500
366414466,106.6800466,10.7929933,501
366414492,106.6060294,10.8863109,502
366414702,106.7078343,10.8005195,503
366414769,106.6849994,10.8883177,504
366414791,106.7662545,10.8505681,505
366414951,106.6953226,10.8172483,506
366415382,106.757546,10.8642739,507
366415536,106.7357847,10.8391409,508
366415574,106.7984691,10.8644256,509
366415700,106.6643668,10.8372075,510
366415814,106.6003026,10.8880076,511
366416066,106.769254,10.8424219,512
366416137,106.6694902,10.7534336,513
366416214,106.6574583,10.7529283,514
366416238,106.6461679,10.7685114,515
366416239,106.8069031,10.8717261,516
366416271,106.680171,10.882914,517
366416430,106.6104704,10.8632256,518
366416518,106.6602062,10.7828795,519
366416597,106.5654776,10.6891672,520
366416679,106.7402602,10.8401571,521
366416771,106.7739891,10.8657092,522
366416897,106.6071858,10.7282004,523
366417015,106.6698521,10.8610728,524
366417290,106.6949352,10.8027699,525
366417361,106.6729603,10.7997004,526
366417494,106.6400026,10.7771816,527
366417740,106.6869432,10.8246319,528
366417928,106.7129274,10.8156639,529
366417938,106.7126094,10.8099325,530
366418147,106.7560189,10.8664079,531
366418153,106.6537501,10.7650518,532
366418262,106.6125528,10.8833519,533
366418291,106.6605789,10.761524,534
366418292,106.6555344,10.7796522,535
366418294,106.6280309,10.779782,536
366418456,106.6688618,10.8312476,537
366418471,106.6803983,10.8380644,538
366418476,106.7562309,10.8099928,539
366418486,106.6744325,10.7963217,540
366418524,106.8194912,10.8880319,541
366418537,106.7115787,10.8076303,542
366418543,106.6520158,10.7896403,543
366418560,106.743489,10.8625757,544
366418691,106.6287373,10.8191762,545
366418712,106.6077482,10.8819132,546
366418858,106.6501526,10.7945819,547
366418906,106.6790625,10.7626244,548
366419043,106.7127118,10.813594,549
366419051,106.7299095,10.8673099,550
366419127,106.8363216,10.8592096,551
366419447,106.7606534,10.8505318,552
366419518,106.6625736,10.8411775,553
366419567,106.6571377,10.7738239,554
366419576,106.6784504,10.806955,555
366419584,106.7305836,10.8741989,556
366419588,106.6579962,10.7833851,557
366419772,106.6645445,10.7771755,558
366419819,106.6101827,10.7302666,559
366419842,106.7104127,10.7750334,560
366419867,106.6035093,10.8752155,561
366419904,106.6586193,10.753824,562
366419947,106.6658237,10.8013324,563
366420092,106.5987241,10.7104799,564
366420234,106.7649324,10.8339386,565
366420500,106.753584,10.6783267,566
366420549,106.6046067,10.8867912,567
366420561,106.6350181,10.8065735,568
366420568,106.6689508,10.7406344,569
366420625,106.6118543,10.8836692,570
366420778,106.6504526,10.7510248,571
366420911,106.668157,10.7943999,572
366421217,106.7644527,10.8261311,573
366421277,106.6557776,10.8425966,574
366421314,106.6563092,10.7878493,575
366421360,106.7335475,10.8382456,576
366421417,106.7361197,10.7404302,577
366421435,106.6912884,10.7972618,578
366421547,106.6347799,10.8152681,579
366421612,106.6498605,10.7783371,580
366421621,106.6275189,10.8249297,581
366421632,106.6479743,10.7748027,582
366421645,106.6627497,10.7652681,583
366421652,106.6988486,10.818499,584
366421693,106.6500642,10.7677159,585
366421704,106.6690254,10.7937455,586
366421768,106.6564425,10.7895104,587
366421842,106.7816243,10.8345986,588
366421855,106.6337742,10.7359493,589
366422145,106.679059,10.8268328,590
366422231,106.6286751,10.7816386,591
366422378,106.7024735,10.6893503,592
366422416,106.6721209,10.8328122,593
366422614,106.7474325,10.8424042,594
366422618,106.6833062,10.7947575,595
366422630,106.659818,10.7826128,596
366422642,106.636066,10.8028848,597
366422667,106.6727703,10.8150046,598
366422856,106.8085819,10.8739372,599
366422916,106.6952956,10.7533608,600
366423066,106.6148456,10.8704185,601
366423133,106.6446032,10.7641068,602
366423179,106.6259924,10.8535692,603
366423254,106.6030332,10.8756688,604
366423552,106.6931881,10.8506779,605
366423565,106.6985639,10.8026021,606
366423594,106.6072912,10.8553665,607
366423903,106.670826,10.8143726,608
366424295,106.6528565,10.7640351,609
366424398,106.6993668,10.7282501,610
366424466,106.6100099,10.76138,611
366424501,106.6506657,10.8435089,612
366424502,106.660442,10.7620133,613
366424554,106.6614527,10.7584006,614
366424612,106.6368278,10.8703305,615
366424751,106.646118,10.7793343,616
366424769,106.6871864,10.8067641,617
366424827,106.6260145,10.8167863,618
366424947,106.7690513,10.8720435,619
366424990,106.6439358,10.7583913,620
366425001,106.7924744,10.8608841,621
366425005,106.7302504,10.8738081,622
366425020,106.5810062,10.6931352,623
366425128,106.6462709,10.8372284,624
366425271,106.7584635,10.821743,625
366425644,106.6236614,10.6890588,626
366425707,106.6524012,10.7613911,627
366425815,106.7295149,10.7988791,628
366426004,106.665673,10.8017494,629
366426126,106.6822071,10.8857781,630
366426156,106.6891393,10.8207407,631
366426213,106.6689647,10.743218,632
366426230,106.5867477,10.8844572,633
366426340,106.6560841,10.7888775,634
366426405,106.65303,10.7641661,635
366426524,106.7415709,10.8016696,636
366426541,106.7826284,10.7636062,637
366426790,106.6194561,10.88006,638
366426836,106.7689232,10.840956,639
366426889,106.6592888,10.8000103,640
366426897,106.6986968,10.8026556,641
366426957,106.6373519,10.7690609,642
366427171,106.6725408,10.7960461,643
366427276,106.698717,10.7517229,644
366427287,106.6682205,10.805981,645
366427385,106.7292386,10.8494797,646
366427503,106.542567,10.718012,647
