id,tags.oneway,segment_id
180,no,1654
181,no,1655
181,no,1656
181,no,1657
181,no,1658
181,no,1659
181,no,1660
181,no,1661
181,no,1662
181,no,1663
181,no,1664
181,no,1665
181,no,1666
181,no,1667
181,no,1668
181,no,1669
181,no,1670
181,no,1671
181,no,1672
181,no,1673
181,no,1674
181,no,1675
181,no,1676
181,no,1677
181,no,1678
181,no,1679
181,no,1680
181,no,1681
181,no,1682
181,no,1683
181,no,1684
181,no,1685
181,no,1686
181,no,1687
181,no,1688
181,no,1689
181,no,1690
181,no,1691
181,no,1692
181,no,1693
181,no,1694
181,no,1695
181,no,1696
181,no,1697
181,no,1698
181,no,1699
181,no,1700
181,no,1701
181,no,1702
181,no,1703
182,no,1704
183,no,1705
183,no,1706
183,no,1707
183,no,1708
183,no,1709
183,no,1710
183,no,1711
184,no,1712
184,no,1713
185,yes,1714
185,yes,1715
185,yes,1716
185,yes,1717
186,no,1718
187,no,1719
187,no,1720
187,no,1721
187,no,1722
187,no,1723
187,no,1724
188,yes,1725
189,no,1726
189,no,1727
189,no,1728
189,no,1729
189,no,1730
189,no,1731
189,no,1732
190,no,1733
191,no,1734
191,no,1735
191,no,1736
191,no,1737
191,no,1738
191,no,1739
191,no,1740
191,no,1741
191,no,1742
192,no,1743
193,no,1744
193,no,1745
193,no,1746
193,no,1747
193,no,1748
193,no,1749
193,no,1750
194,no,1751
194,no,1752
194,no,1753
195,no,1754
195,no,1755
195,no,1756
195,no,1757
195,no,1758
196,yes,1759
197,yes,1760
197,yes,1761
197,yes,1762
197,yes,1763
198,no,1764
198,no,1765
198,no,1766
198,no,1767
198,no,1768
198,no,1769
199,no,1770
200,yes,1771
200,yes,1772
200,yes,1773
201,yes,1774
201,yes,1775
201,yes,1776
201,yes,1777
201,yes,1778
202,no,1779
202,no,1780
202,no,1781
203,yes,1782
204,no,1783
204,no,1784
204,no,1785
204,no,1786
204,no,1787
204,no,1788
204,no,1789
204,no,1790
204,no,1791
204,no,1792
205,yes,1793
206,yes,1794
206,yes,1795
207,no,1796
207,no,1797
207,no,1798
208,no,1799
208,no,1800
208,no,1801
208,no,1802
208,no,1803
208,no,1804
208,no,1805
208,no,1806
208,no,1807
208,no,1808
208,no,1809
208,no,1810
208,no,1811
208,no,1812
208,no,1813
208,no,1814
208,no,1815
208,no,1816
208,no,1817
208,no,1818
208,no,1819
208,no,1820
208,no,1821
208,no,1822
208,no,1823
208,no,1824
208,no,1825
208,no,1826
208,no,1827
208,no,1828
208,no,1829
208,no,1830
208,no,1831
208,no,1832
208,no,1833
208,no,1834
208,no,1835
208,no,1836
208,no,1837
208,no,1838
208,no,1839
208,no,1840
208,no,1841
208,no,1842
208,no,1843
208,no,1844
208,no,1845
208,no,1846
208,no,1847
208,no,1848
208,no,1849
208,no,1850
208,no,1851
208,no,1852
208,no,1853
208,no,1854
208,no,1855
208,no,1856
208,no,1857
208,no,1858
208,no,1859
208,no,1860
208,no,1861
208,no,1862
208,no,1863
208,no,1864
208,no,1865
208,no,1866
208,no,1867
208,no,1868
208,no,1869
208,no,1870
208,no,1871
208,no,1872
208,no,1873
208,no,1874
208,no,1875
208,no,1876
208,no,1877
208,no,1878
208,no,1879
208,no,1880
208,no,1881
208,no,1882
208,no,1883
208,no,1884
208,no,1885
208,no,1886
208,no,1887
208,no,1888
208,no,1889
208,no,1890
208,no,1891
208,no,1892
208,no,1893
209,yes,1894
210,yes,1895
211,yes,1896
211,yes,1897
211,yes,1898
211,yes,1899
211,yes,1900
211,yes,1901
211,yes,1902
211,yes,1903
212,no,1904
213,yes,1905
213,yes,1906
213,yes,1907
214,yes,1908
215,yes,1909
215,yes,1910
215,yes,1911
216,yes,1912
217,yes,1913
217,yes,1914
217,yes,1915
217,yes,1916
217,yes,1917
218,yes,1918
219,yes,1919
220,no,1920
221,no,1921
221,no,1922
221,no,1923
221,no,1924
221,no,1925
221,no,1926
221,no,1927
221,no,1928
221,no,1929
221,no,1930
221,no,1931
221,no,1932
221,no,1933
221,no,1934
222,no,1935
222,no,1936
222,no,1937
223,yes,1938
223,yes,1939
224,yes,1940
225,yes,1941
226,no,1942
227,yes,1943
227,yes,1944
227,yes,1945
228,yes,1946
228,yes,1947
228,yes,1948
228,yes,1949
228,yes,1950
228,yes,1951
228,yes,1952
229,no,1953
230,no,1954
230,no,1955
230,no,1956
230,no,1957
230,no,1958
230,no,1959
230,no,1960
231,yes,1961
231,yes,1962
231,yes,1963
231,yes,1964
231,yes,1965
232,no,1966
233,no,1967
234,no,1968
234,no,1969
235,no,1970
235,no,1971
235,no,1972
235,no,1973
236,no,1974
237,yes,1975
238,yes,1976
239,yes,1977
239,yes,1978
239,yes,1979
239,yes,1980
239,yes,1981
240,no,1982
240,no,1983
241,yes,1984
241,yes,1985
242,yes,1986
243,yes,1987
243,yes,1988
243,yes,1989
243,yes,1990
243,yes,1991
243,yes,1992
244,no,1993
244,no,1994
244,no,1995
244,no,1996
244,no,1997
244,no,1998
244,no,1999
244,no,2000
244,no,2001
244,no,2002
244,no,2003
244,no,2004
244,no,2005
244,no,2006
244,no,2007
244,no,2008
244,no,2009
244,no,2010
244,no,2011
244,no,2012
244,no,2013
244,no,2014
244,no,2015
244,no,2016
244,no,2017
244,no,2018
244,no,2019
244,no,2020
244,no,2021
244,no,2022
244,no,2023
245,yes,2024
245,yes,2025
245,yes,2026
246,no,2027
246,no,2028
247,yes,2029
247,yes,2030
247,yes,2031
248,no,2032
248,no,2033
248,no,2034
248,no,2035
249,no,2036
249,no,2037
249,no,2038
250,yes,2039
250,yes,2040
250,yes,2041
250,yes,2042
250,yes,2043
250,yes,2044
250,yes,2045
250,yes,2046
250,yes,2047
250,yes,2048
250,yes,2049
250,yes,2050
250,yes,2051
250,yes,2052
250,yes,2053
250,yes,2054
250,yes,2055
250,yes,2056
250,yes,2057
250,yes,2058
250,yes,2059
250,yes,2060
251,no,2061
251,no,2062
251,no,2063
251,no,2064
252,yes,2065
