id,s_node_id,e_node_id
951,7596,7607
952,7596,7609
953,7609,7596
954,7609,7610
955,7610,7609
956,7610,5556
957,5556,7610
958,5556,7595
959,7595,5556
960,7595,247
961,247,7595
962,247,7594
963,7594,247
964,7594,346
965,346,7594
966,346,7604
967,7604,346
968,7604,7603
969,7602,10248
970,7590,7593
971,7601,7592
972,9875,9874
973,9874,6276
974,7383,434
975,434,270
976,270,7077
977,7077,7384
978,979,9921
979,5641,9952
980,7159,10249
981,10249,7678
982,7678,7667
983,7667,7668
984,7668,10253
985,10253,6900
986,6900,9955
987,9955,10254
988,10254,9955
989,10254,10251
990,10251,220
991,220,7115
992,7115,875
993,875,1162
994,1162,10257
995,10257,10250
996,10250,6216
997,6216,395
998,395,10260
999,10260,6217
1000,6217,396
1001,396,6218
1002,6218,7675
1003,7675,1004
1004,1004,10246
1005,7342,7676
1006,7676,4571
1007,4571,10245
1008,6168,9732
1009,10567,3922
1010,3922,10567
1011,6814,11127
1012,6986,9411
1013,4002,8738
1014,8738,8735
1015,8735,5130
1016,5130,8734
1017,5131,612
1018,6985,8736
1019,6984,4004
1020,870,11131
1021,4000,8842
1022,8842,4000
1023,8842,4005
1024,4001,11132
1025,11132,4001
1026,11132,4006
1027,8964,4003
1028,574,9266
1029,6813,707
1030,841,518
1031,589,7364
1032,7345,143
1033,9717,9716
1034,9716,9718
1035,4769,9715
1036,60,717
1037,5639,9729
1038,9730,1193
1039,6024,1059
1040,1307,372
1041,566,11004
1042,8851,3630
1043,8927,8916
1044,3631,8927
1045,8090,8918
1046,8917,3626
1047,8905,8917
1048,8091,8905
1049,3627,8091
1050,8898,4192
1051,3629,8903
1052,8897,3629
1053,8907,8902
1054,8906,8904
1055,8908,8904
1056,3625,8908
1057,7323,8899
1058,1219,7322
1059,162,780
1060,1221,605
1061,605,8480
1062,2455,2453
1063,2447,216
1064,1197,4768
1065,7282,7281
1066,495,7280
1067,7279,84
1068,84,7278
1069,9332,7288
1070,7288,260
1071,7289,9331
1072,9331,7275
1073,7275,7274
1074,7411,7286
1075,7286,7285
1076,7287,7276
1077,6988,6989
1078,3615,9178
1079,9178,3615
1080,9179,9178
1081,9179,9175
1082,9176,9171
1083,9180,9172
1084,7711,9181
1085,9177,9174
1086,9174,4611
1087,4611,9173
1088,242,1036
1089,2963,113
1090,113,19
1091,760,243
1092,772,914
1093,914,883
1094,883,2967
1095,2967,883
1096,2961,2962
1097,2960,998
1098,887,9276
1099,1081,2959
1100,2959,304
1101,304,11240
1102,858,10109
1103,2669,2616
1104,936,2669
1105,187,11029
1106,3155,187
1107,10050,483
1108,6058,3600
1109,461,7147
1110,7147,37
1111,37,7146
1112,7146,620
1113,620,4966
1114,4966,7088
1115,7088,953
1116,953,7104
1117,7104,929
1118,929,92
1119,92,7156
1120,7156,1223
1121,1223,10643
1122,10643,792
1123,792,917
1124,917,61
1125,61,7453
1126,7453,9600
1127,9600,10641
1128,10641,4967
1129,4967,4
1130,4,7120
1131,7120,7118
1132,7118,892
1133,892,10401
1134,10,8055
1135,186,2914
1136,1253,8238
1137,455,1063
1138,455,6476
1139,6476,455
1140,6476,100
1141,100,6476
1142,100,6517
1143,6517,100
1144,6517,4314
1145,4314,6517
1146,4314,7768
1147,7768,4314
1148,7768,10056
1149,10056,7768
1150,10056,557
1151,557,10056
1152,557,7767
1153,7767,557
1154,7767,6518
1155,6518,7767
1156,6518,6519
1157,6519,6518
1158,6519,931
1159,931,6519
1160,931,817
1161,817,931
1162,817,1216
1163,1216,817
1164,1216,1172
1165,1172,1216
1166,1172,596
1167,596,1172
1168,596,1077
1169,1077,596
1170,1077,519
1171,519,1077
1172,519,943
1173,943,519
1174,943,7057
1175,7057,943
1176,7057,7058
1177,7058,7057
1178,7058,7059
1179,7059,7058
1180,7256,8352
1181,8567,6938
1182,6938,590
1183,590,4013
1184,4013,6937
1185,6937,3733
1186,3733,4976
1187,4976,4012
1188,4012,1033
1189,1033,6285
1190,6285,5417
1191,5417,3216
1192,3216,754
1193,754,8124
1194,8124,3732
1195,3732,8123
1196,8123,4014
1197,8585,38
1198,9,6300
1199,6300,4933
1200,4933,1091
1201,1091,5419
1202,5419,8584
1203,8584,8191
1204,5420,271
1205,271,11151
1206,11151,6302
1207,6302,537
1208,537,8120
1209,2074,725
1210,725,11145
1211,11145,332
1212,332,7872
1213,7872,7843
1214,7843,984
1215,984,11146
1216,11146,7061
1217,7061,740
1218,7873,5421
1219,5421,1119
1220,1119,7875
1221,6347,949
1222,6315,7874
1223,7874,33
1224,33,8816
1225,8816,4934
1226,4934,3215
1227,3215,3734
1228,3734,8815
1229,8815,3391
1230,3391,297
1231,297,5118
1232,5118,3735
1233,3735,8812
1234,8812,5119
1235,5119,11160
1236,11160,409
1237,409,3736
1238,3736,8801
1239,8801,3740
1240,3740,3738
1241,3877,9546
1242,5586,401
1243,5586,9548
1244,9741,9742
1245,9737,9741
1246,9740,5585
1247,6220,9188
1248,6220,6222
1249,6222,6220
1250,6222,6223
1251,6223,6222
1252,6223,827
1253,827,6223
1254,827,6226
1255,6226,827
1256,6226,6231
1257,6231,6226
1258,6231,6232
1259,6232,6231
1260,6232,1177
1261,1177,6232
1262,1177,6237
1263,6237,1177
1264,6237,6238
1265,6238,6237
1266,6238,515
1267,515,6238
1268,515,1009
1269,1009,515
1270,1009,11311
1271,11311,1009
1272,11311,11249
1273,11249,11311
1274,11249,812
1275,812,11249
1276,812,1079
1277,1079,812
1278,1079,6242
1279,6242,1079
1280,6242,11312
1281,11312,6242
1282,11312,9566
1283,9566,11312
1284,9566,9565
1285,9565,9566
1286,9565,9564
1287,9564,9565
1288,4561,4562
1289,188,7436
1290,188,5647
1291,7422,1212
1292,7421,9637
1293,9621,3489
1294,3489,7257
1295,7257,5115
1296,9638,9639
1297,660,8980
1298,8980,8981
1299,944,8977
1300,8977,8978
1301,8979,8982
1302,9640,368
1303,60,5640
1304,4102,9692
1305,423,1090
1306,342,9666
1307,9665,9664
1308,741,281
1309,741,9683
1310,962,1100
1311,10329,6402
1312,10328,345
1313,10327,4919
1314,10300,10302
1315,4226,10157
1316,4226,4783
1317,4783,4226
1318,4783,5503
1319,5503,4783
1320,5503,1890
1321,1890,5503
1322,1890,7981
1323,7981,1890
1324,7981,4784
1325,4784,7981
1326,4784,672
1327,672,4784
1328,672,9470
1329,9470,672
1330,9470,210
1331,210,9470
